# product                 SHA1                                      Version                       
BUILD=b824
throughputs               a6e2efc0c9c01ca6c64016117a5e700cad356e0f  master-ga6e2efc0c9                       
eigen                     e7c2993de8c624e968067861b71e3f7787c8b387  3.2.0                                    
xpa                       37475053b1454edd07059ce496d2fd851ca0a448  master-g37475053b1                       
python                    259ae7060d5430926998615a42cf4b4c117a449e  master-g259ae7060d                       
swig                      ccf66d07ee20460f0eb3c396d8f04e5d5e249ee3  3.0.2.lsst1                              
doxygen                   16ba5fa702ef543facf1ab4530b6a436f20f8f8b  1.8.5                                    
sims_sed_library          7b2c9abf7cf0a849fb839e1aadc0af41a62882d3  2014.10.06                               
sims_data                 dac76d2d31a18efd420080cf729efcfc59b66910  master-gdac76d2d31                       
fftw                      79f7a23301533025fb1a46e9e8e60e565bdb8831  3.3.3                                    
pyephem                   2fa459bf78ce024ea022dfdeba525a395984f205  3.7.5.1.lsst1                            
cfitsio                   9799952d95ad6495ae9dac67c203ca9ec9369b1b  3360.lsst1                               
mysqlclient               b5244aa1cc5e692fdf2d47a301f9aa0b47cdbc83  5.1.73.lsst1                             
sims_dustmaps             e49b71e5da94ac1261d4af1798b204313bd2d24a  2014.09.23                               
sims_utils                e8900fd7e38a3b6ba8d308878acc4d3e24629643  master-ge8900fd7e3                       utils,python
pex_logging               d16710822329606488381ce3b47a7e6d13e1f17e  10.0+8                                   pex_exceptions,daf_base
sims_catalogs_generation  0467f675393835bd9db1e6557411122e957039d2  master-g0467f67539                       utils,python,sims_utils
pex_policy                6a3ac32d1b80886743dc96fbc2fb3a4498f7d968  10.0+8                                   daf_base
pex_config                1bbe32c89d407f972c81ecb26b6c14b7e0b78782  master-g1bbe32c89d+3                     daf_base,pex_policy,numpy
sims_catalogs_measures    f07f0c61b04403c8bc428bc7dab00c47dffdd716  master-gf07f0c61b0                       utils,python,sims_catalogs_generation
daf_persistence           3391ba5ea08ed4317be8a097ddbb309e1e0d8fd0  10.0+9                                   mysqlclient,pex_logging,pex_policy
afw                       cb7650addaf6b721d295f5c1263104ccf8ef3e0b  master-gcb7650adda                       daf_base,daf_persistence,pex_config,ndarray,cfitsio,wcslib,xpa,numpy,minuit2,eigen,gsl,fftw,utils,pyfits,afwdata
sims_coordUtils           27688ba5a541991371285adbaffdcf7ab975e7c3  master-g27688ba5a5+1                     sims_catalogs_measures,utils,base,python,throughputs,palpy,pyfits,afw
skypix                    1157bf09aee6dda8cdefede4395220da4b46d0fe  10.0+39                                  utils,pex_policy,geom,afw
skymap                    8ff4092549790d886a8480a45e7c94ec46941bad  10.0+39                                  numpy,afw
sims_photUtils            35c08b4a85cda833f4666a5c2f8b9e5e8678bccf  master-g35c08b4a85+6                     utils,sims_catalogs_measures,sims_catalogs_generation,sims_sed_library,sims_dustmaps,sims_coordUtils,python,throughputs,pyfits
daf_butlerUtils           c54cf9771df5abbbd0f5495e1ca6fbf98d8339da  10.0+40                                  daf_base,pex_logging,pex_policy,daf_persistence,afw,skypix,pyfits
obs_test                  310d58a07c16c60c572dbeb2f346f06daa996eb1  master-g310d58a07c+5                     daf_base,daf_butlerUtils,pex_policy,daf_persistence,pex_config
pipe_base                 a34ec3e352a7342a7e543795f5eb6571acd19bcf  master-ga34ec3e352+31                    daf_persistence,pex_logging,pex_config,utils,afw,obs_test
coadd_utils               b584cd339724b7015b353f8e213d090f7e1e0d09  10.0+44                                  afw,pipe_base,pex_config,afwdata
coadd_chisquared          a6b77976b1970420906e65b9ecdb504e3866b4c7  10.0+44                                  coadd_utils,afwdata
meas_base                 5614b9cb9eab85d4188662c54803df1d9db0b6ae  master-g5614b9cb9e+5                     afw,pipe_base,daf_base,pex_config,coadd_utils
meas_algorithms           214abdfdcea4cefb38d2135857c9704c597733b6  master-g214abdfdce+10                    afw,pex_logging,pipe_base,meas_base
meas_deblender            75eeaabc1bc78a1e35b01bdcc4f76e8bf3f9820d  master-g75eeaabc1b+19                    utils,afw,meas_algorithms,matplotlib
meas_astrom               39cd4d7075a7020cc8ee266e6c877ff88558d77b  master-g39cd4d7075+16                    afw,meas_algorithms,pex_logging,pex_config,pipe_base,wcslib,astrometry_net,numpy,matplotlib
ip_isr                    3d1a22232e8c76e206ec8f9ea5e32c9eecf68c05  master-g3d1a22232e+12                    meas_algorithms,pipe_base
ip_diffim                 c40a15d150f550018a8437c3a715a0a06a3b0178  master-gc40a15d150+7                     afw,meas_base,meas_deblender,numpy,pex_config,pipe_base,afwdata,matplotlib
pipe_tasks                7a96c7313724ecd7941670d84934ba6f1d0646ea  master-g7a96c73137+15                    pipe_base,pex_config,afw,meas_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               5194e2826326d863945e87bc34e1e1bad86306fc  10.0+97                                  daf_base,pex_policy,afw,daf_persistence,daf_butlerUtils,meas_algorithms,ip_isr,pipe_tasks,mysqlpython
sims_maf                  d471676e0b15388349351c68bfa3d2548fab6f89  master-gd471676e0b+1                     base,numpy,matplotlib,pyephem,palpy,pex_config,sims_catalogs_generation,sims_photUtils,sims_coordUtils,sims_dustmaps,healpy,obs_lsstSim
sims_catUtils             214168df8ee4614de4abb178e211ae389ff88df8  master-g214168df8e+1                     utils,sims_catalogs_measures,sims_catalogs_generation,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,GalSim,obs_lsstSim
lsst_sims                 69b085209b752f3b5c46ba630c3bd571f627e78d  master-g69b085209b+527                   sims_maf,sims_catUtils,sims_catalogs_generation,sims_catalogs_measures,sims_sed_library,sims_dustmaps
