# product                 SHA1                                      Version                       
BUILD=b2926
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              ae5611c1e4c8cddccdeb4a1a1b6e28f0fc442709  lsst-dev-gae5611c1e4                     
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
lua                       419130092c6420d68845b6f9d2c9873814523142  5.1.4.lsst1                              
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
pybind11                  715ff27535186c4a78829a82a34488401d48f4b5  master-g715ff27535                       
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
protobuf                  a51257198ea3dfde6e19c3c0c19e5e5c202b34a5  2.6.1.lsst4+1                            python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4                                    python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+3                            python,numpy
ndarray                   71f34fcbf18bac029ae810133b2bf16b16b7e149  1.3.0-2-g71f34fc                         boost,python,numpy,eigen,swig,pybind11,fftw
pyyaml                    626f351d092e4401129dbbd3a1888f619028f8f6  3.11.lsst1-1-g626f351                    python,libyaml
verify_metrics            5df7653e79f11ca87d4e3b15c1e6081809d06bbe  master-g5df7653e79+1                     sconsUtils
base                      77abda39221a0fd057decb9d3e9fbb86ea64e63e  13.0-5-g77abda3+1                        sconsUtils,pybind11,python,python_future,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+2                     scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+94                                  sconsUtils
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
validate_base             4f5ff6b7a18ad90b2dd64c4d9ac04746ee7dddbb  master-g4f5ff6b7a1+4                     python,python_future,pyyaml,numpy,astropy,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+4                        sconsUtils
pex_exceptions            52a7baa2f82bd1e67b92fcfff02b44c319acf2d4  13.0-1-g52a7baa+6                        base,boost,pybind11,python,python_future
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  12.0+16                                  gsl,sconsUtils,fftw
tmv                       873defe1a7d897bba1d443737e273f56c4412815  0.73+5                                   scons
astshim                   29e901202766e63e9ce13b265a5aa8de2b4c67a4  master-g29e9012027                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
healpy                    d4cac0b74d707cc97b912fa01d6d2c0d9c9eb947  1.8.1.lsst2+5                            python,numpy,pykg_config,cfitsio,pyfits
lsst                      26836f2e2dac9a8b8d9d1f7554b8bd34e313ee50  13.0-18-g26836f2                         scons,sconsUtils
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
sphgeom                   2afa766de28a9f834bc3f6ba92d7b781e9479523  12.1-3-g2afa766+2                        base,sconsUtils,pybind11,doxygen
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+14                       boost,sconsUtils,sphgeom
utils                     109db22c3432effcd2003672dd299aef407fb21c  13.0-5-g109db22                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
galsim                    473d33b102c0d31dd39449d8a063b7fde8e40e74  1.4.3                                    numpy,pyfits,python_future,boost,fftw,tmv,astropy
log                       2b79bf3b2913c1ceef2b5130b455cb8ffb7955f9  13.0-5-g2b79bf3+1                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
verify                    9e022f7cf2fa6b76f78b58e9336064b3ac3ca55a  master-g9e022f7cf2+1                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,verify_metrics
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+28                                  sconsUtils,python_future,utils
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  13.0-2-g167564e+3                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        305c405993acf9f5290332dec8c99d853aebeff2  13.0-1-g305c405+3                        log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+7                        daf_base,utils,python_future,pybind11,python
cat                       fa9bc2b0a415a2032d2a66ccad9067e70a68355e  13.0-2-gfa9bc2b+3                        python,mariadbclient,db,sqlalchemy,utils,python_future
pex_config                483026ce51faf46cc7d52dc866fe8fecb99c3985  13.0-2-g483026c+1                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
qserv                     e04a7c94ec8f0ca36881ba8ece9434afe16c57af  12.1-74-ge04a7c9+3                       antlr,boost,db,doxygen,flask,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,python,requests,scisql,scons,sphgeom,sqlalchemy,swig,xrootd
daf_persistence           d5d205afe6e8db061d10b7055c38bba42240d4a5  13.0-17-gd5d205a+1                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
qserv_testdata            552b4c16312740f48876689de17e52f1ef2e5169  2016_08-1-g552b4c1+35                    python,pyyaml,qserv,scons,sconsUtils
ctrl_orca                 350a12cc5aed289820d4e807a4ed6f796c5ea547  13.0-3-g350a12c+13                       python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              b581ee858b91da9ccce2d743815a42780d6bbf75  13.0-2-gb581ee8+16                       python_future,ctrl_orca,pex_config,utils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+38                    qserv,partition,qserv_testdata
afw                       cb3ce127139aa88dd8faef2395e8a08f0fadd0a8  13.0-66-gcb3ce12                         daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  13.0-2-g6174d4c+14                       afw,xpa,python_future,pybind11
ctrl_platform_lsstvc      cdf9e4879f85c30c090d8701fce22789407c8cfa  master-gcdf9e4879f+7                     ctrl_execute
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+44                                  utils,pex_policy,geom,afw,python_future,sconsUtils
shapelet                  5a043c44aed7e19a9a915053ac5532630ccbb635  13.0-4-g5a043c4+3                        afw,numpy,scons,sconsUtils,pybind11,scipy
skymap                    d4595c55a59ea769ee0bdc5d55dc498e9819b97c  13.0-4-gd4595c5+3                        numpy,afw,healpy
obs_base                  9d555d8b67b860713a5384da06de305b85c61938  13.0-27-g9d555d8+2                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  d7ec577684afa259fd79bdbabd0996204019c4de  13.0-9-gd7ec577+2                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 1c7d9c50a6cfc6cf5e66f39b3f7c4a71ab5ca09e  13.0-9-g1c7d9c5+3                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 9cf35e0bfc8227aa816487a0d43a38032d45903f  13.0-5-g9cf35e0+3                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               f5c5cedf8b11b3451bf294332e3a61655c63d654  13.0-2-gf5c5ced+20                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          a4f5e85f51f2b10c2347f9eb961cb5bd5146645c  13.0-2-ga4f5e85+20                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 03c8adcf896aafafc3873860b9c4255358ad581f  13.0-20-g03c8adc+3                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape aa0a42814803e87fc241942703e60d7801fe52fa  13.0-5-gaa0a428+16                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           f5c99ad143727ada880e55d78666d153fea27a85  13.0-13-gf5c99ad+3                       daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    f01aa928b0ddc77b2bd2251e6a15221c3d73e6fa  13.0-11-gf01aa92+14                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_modelfit             8613bc8e160d948d1a8a406310145472d2fbd277  13.0-8-g8613bc8+11                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  fb50383c3358cccf0d73d78dbadee5a067c46cf8  13.0-7-gfb50383+8                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_deblender            df55193cb1088fe9e22f32ab80502a3dcdbb3eed  13.0-11-gdf55193+3                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 373a35160ac4efb80cb1876d51ca3a6b6b4f2304  13.0-19-g373a351+1                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_photometryKron 9adc27753aa0fa9d4cdf957eddada5be455d34d4  13.0-5-g9adc277+8                        meas_base,pybind11,meas_algorithms
meas_extensions_psfex     20ee73ebaa460875eef640bbc80316b075a686bf  13.0-4-g20ee73e+3                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_convolved b62a4113a6335f7f18438bf974f3d7d70288c99e  master-gb62a4113a6+12                    meas_algorithms,meas_extensions_photometryKron
meas_astrom               94154427a1e5dbf7e918566b8840a406c0bd13cd  13.0-14-g9415442+1                       afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet 43362ee2f3ebe4d2e7b47e713be926b5811f4e8d  master-g43362ee2f3+15                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               67ba4a8e54a06b8ad0a126256180f8eb370fcdb4  13.0-3-g67ba4a8+8                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                58c8d4edc2884fe07f04c4ba821fbc05632f6927  13.0-37-g58c8d4e+3                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  52410486f7669384efbeb8376fea6f00ac68d9d8  13.0-7-g5241048+3                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
pipe_drivers              11ca5b28fefd5af84f90c19ffc9821afc56aa4de  13.0-7-g11ca5b2+3                        ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_decam                 235612355ef60d51acc5bd1a4f1257a008f3c079  13.0-17-g2356123+3                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_lsstSim               177be6f76fa560125c1becdb3b56e6005cacf0d7  13.0-13-g177be6f+3                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  13.0-2-gcc7d151+16                       meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   7dda0ab8e28ced83028f064a0496a6f5f83ed15a  13.0+34                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
obs_cfht                  c0b5a57d17c313967b3ec422982bcca277e4a2cc  13.0-10-gc0b5a57+3                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                077cf74903d50802c7b6ed34778f5ba14b56cef0  13.0-36-g077cf74+3                       daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  13.0+34                                  obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         b60b745de579708ccd703f191bbddcbf96fa5083  master-gb60b745de5+14                    obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  c935ebf72c113f9a4446dbba113627f3a5da161c  master-gc935ebf72c+3                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
lsst_distrib              f45f8123aa23a9cde192b5c1fa2263b218018ba2  13.0-3-gf45f812+2                        lsst,lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal,verify
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+14                    obs_cfht
validate_drp              f84cb60af8e2086c57d1af37e7d061c178b406eb  master-gf84cb60af8+6                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
lsst_ci                   01ef2a7bfd11dbc3c0d033deb2170592545f198c  master-g01ef2a7bfd+13                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp
