# product                 SHA1                                      Version                       
BUILD=b5174
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
alert_packet              8277e36f1963996f6e53683c950757cc745aef10  master-g8277e36f19                       
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
fgcm                      1f68fb7ac6bb37a8539a7661bd48aa099e55ff1a  lsst-dev-g1f68fb7ac6                     
firefly_client            508dc7262a76850e0095defb6fae06e0adb234e0  lsst-dev-g508dc7262a                     
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  20.0.0-1-g7048e9c                        
obs_lsst_data             1010acae735ccaa1f27868e803e7790505d34e02  20.0.0-6-g1010aca                        
obs_subaru_data           f829e6445dc2e74d6b18cf00b7977c5599506fe4  20.0.0-1-gf829e64                        
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
testdata_decam            47917b28e7eff24162f0ba898a02c9e606ef4a4f  20.0.0-2-g47917b2                        
testdata_jointcal         bc375608d3ec990bf60b9c16abbc79ec46bbcf61  20.0.0-3-gbc37560                        
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
geom                      bd60e8ce2cfca0bca6ac589220688f84172f2a52  20.0.0-3-gbd60e8c+ff10c6d78d             sconsUtils,sphgeom,pex_exceptions,utils
log                       61b8584665373209cb86a9fae22326d0a10157e4  20.0.0-2-g61b8584+85c46248f3             base,sconsUtils,utils
astro_metadata_translator e39f447d60b08eb3ae15423ce313844fff1e85c5  0.1.0-15-ge39f447+46a6078777             sconsUtils,daf_base
daf_persistence           52fdb94ae0efac800f54c8e9dbe876c7987a3896  20.0.0-2-g52fdb94+046030bafd             utils,log,daf_base
pex_config                2b7511a59cdb15a0b7515bb53be6336bd1c5294d  20.0.0-1-g2b7511a+46a6078777             daf_base
afw                       1a12fe12bf90ba04454e0bc406a0cf3c4f650c71  20.0.0-14-g1a12fe12b+614f89f815          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 a18918569f758cb2bbb1f2d69ddbb6439dc54a83  20.0.0+19e12dbb3f                        utils,pex_config,daf_persistence,log
cbp                       e319b44137a96ff988209d041d710a369e64a734  20.0.0-1-ge319b44+6348ae6e95             geom,sphgeom,afw
ctrl_execute              637769e54ab186bbaaec5c6c47ce9bf1a4a4265f  20.0.0+db2060e339                        ctrl_orca,pex_config,utils
dax_apdb                  253301aa6cef94a1860a0adc84002e26b2a6a1a1  20.0.0-1-g253301a+6348ae6e95             afw,pex_config,sconsUtils,sphgeom,utils
display_ds9               2b32d65e7ec24b526e9b433ec5d66a085732f01d  20.0.0+6348ae6e95                        afw
display_firefly           d6714190a066a65907e516477fe740967449ecd6  20.0.0+f59fc3f720                        afw,geom,log,firefly_client
display_matplotlib        06f596319d54ed350da1ab9b6fa0a2e029695f90  20.0.0+6348ae6e95                        afw
pipe_base                 3dcad98e454eb1df00561b5eb2bb902bf54f07f1  20.0.0-25-g3dcad98+558ba85b5f            daf_butler,daf_persistence,log,pex_config,utils,afw
shapelet                  f07204487da8e856b8614daabc9177f2c489f77a  20.0.0-2-gf072044+6348ae6e95             afw,sconsUtils,geom
skymap                    97dc21a859325fc3a2e2d97c32ff3dda306f61c7  20.0.0-4-g97dc21a+558ba85b5f             sphgeom,geom,afw,daf_butler
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  20.0.0+24334de73e                        afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      ae98d27b2fb3dd9155f1277a5584699a51fc26e4  20.0.0+939a377a4c                        ctrl_execute
ctrl_pool                 e404a01e6f1af9a754885946117f9ff954f82a6f  20.0.0+24334de73e                        daf_persistence,pipe_base,log,utils
obs_base                  7191b3b4497da3d197d9ddeb0ce8bd59be2a5190  20.0.0-63-g7191b3b+c777709640            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    2b2d431df2524ac3683c7dc925a4916d15d5bdd8  20.0.0-3-g2b2d431+3cfc6cd2c8             sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               43e4e0eb16d5f9a0e82011342ac8fc88ec91e01d  20.0.0-33-g43e4e0e+901f25d3dc            daf_butler,log,obs_base,pex_config,pipe_base
meas_base                 750bffe6620e565bda731add1509507f5c40c8bb  20.0.0-3-g750bffe+aa101c80f9             utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
obs_test                  edffbd8b30f0eae80981ed0d4ef2517efee52a37  20.0.0-1-gedffbd8+da4718dcfa             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           0891cd9999c85a9d8147858fe499d215047cd05e  20.0.0-10-g0891cd99+4bc1d4fea5           astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_extensions_simpleShape 9c54d0d45d64a81b6e1fe4dc8c1448be8fdef35d  20.0.0+bc2efa1fe5                        sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
ap_association            0e30bb53e68b8102c5eec25ccf09df25bc5b4d38  20.0.0-15-g0e30bb5+ca9566b2b5            afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,verify
ip_isr                    df434b783a1595a2d5b3ef353569d630970b22da  20.0.0-22-gdf434b7+59c4ba692f            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               c96f8cbbf3fde07e620d09e3b609308a3ae3cfa9  20.0.0-1-gc96f8cb+59c4ba692f             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            f5acbb62065d5ddcf1e8eb73cf7f7a675c6af788  20.0.0-2-gf5acbb6+d921d43168             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron 4dae9ad26e99ac208b25bde7b39d150b9574d562  20.0.0-2-g4dae9ad+59c4ba692f             meas_base,meas_algorithms
meas_extensions_psfex     5bce58186d2b5bfeba8e4d0c860f981b4fac6bc3  20.0.0-4-g5bce581+e6333997a2             afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   8953f445d358b9f0288376969526a70cc8035cf1  20.0.0-4-g8953f44+98d21b0dbf             base,afw,log,scarlet,scarlet_extensions,log,pex_config,pex_exceptions,pipe_base,meas_algorithms,testdata_deblender
meas_extensions_shapeHSM  5191324ed3f8dbb727a85d17e695c6a1a143bc61  20.0.0+59c4ba692f                        meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_modelfit             3dda6eac98a1e430b5dc07b62035067371f99d70  20.0.0-1-g3dda6ea+2efb611119             afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom
ip_diffim                 cda7bf18f77f4faa0e4d7bb17d353f0b9327901e  20.0.0-7-gcda7bf1+d4a432d2df             afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
meas_extensions_convolved c390c3c845068864752f1dd9b39b87f9ed5cf448  20.0.0+e82913c6e5                        meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
obs_ctio0m9               1ecf207fc1bef35dc0dd6061d787e6a4feea501e  20.0.0-1-g1ecf207+ca6790e1dd             afw,daf_base,obs_base,pex_config,utils,ip_isr
pipe_tasks                9cdc3119a71dee7a37294cfdb7b680a50e93dc77  20.0.0-34-g9cdc3119+d10e04dcbd           afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_extensions_psfex,kht,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_cfht                  cea5c83c405003994458993bd2b6ec7baff69d73  20.0.0-3-gcea5c83+150516cf1f             daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
obs_decam                 cdbda889a77646f04003f000d57cbae801b7aab4  20.0.0-17-gcdbda88+a5e48e6195            utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_lsst                  ac6016d344408d89f2c272374307477c4d31ec35  19.0.0-105-gac6016d+116548c9e1           afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_sdss                  631c6ba8ceb2c89b485f49cf055d12f50fdb9b55  20.0.0+685a6691ce                        obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,geom
obs_subaru                ebd28008084dc1fd977484759e848f36a4883b7c  19.0.0-88-gebd28008+efc7e0ab19           daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              5b95a8cae66b6883fcf91191e3c614d00ee4035e  20.0.0-1-g5b95a8c+a5c5a8855d             ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  20.0.0+49958d878a                        obs_decam
ap_verify_testdata        039d31e69aae6d9ab29f541664c0d321c179bd50  20.0.0-13-g039d31e+03ada3c13d            obs_lsst
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+b16ee33e05                          obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
cp_pipe                   10eeb28f32e3df7255feffcfb869ffb08065d8db  20.0.0-23-g10eeb28+0997c6b94a            pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_drivers,pipe_tasks
jointcal                  b0260a253f12c1163ce8d58d079ca711a7106de1  19.0.0-14-gb0260a2+62eef71270            sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal,obs_subaru,obs_decam,obs_cfht
lsst_dm_stack_demo        984f8e41f711b1d939adb0cce9ebcd814bcd4c86  20.0.0-1-g984f8e4+c4a0bc5a61             utils,sconsUtils,obs_sdss
lsst_obs                  9569ba20bd3ab20600da9162cd220cca1e594859  20.0.0+120959d7dd                        obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
pipelines_check           abbd1a872d6691216a24b1fa219b6c0b31f77500  master-gabbd1a872d+8f2b0a899a            pipe_tasks,daf_butler,obs_subaru,ctrl_mpexec,meas_extensions_convolved,meas_extensions_photometryKron,ip_isr
validate_drp              b22d68fb64b9ec85d9421a4962b27939b1d0a906  20.0.0-1-gb22d68f+d7613f9874             utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_pipe                   d55c0445ce56da4c7627b58483058e8f077cc27e  20.0.0-8-gd55c044+f794757e1c             utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
fgcmcal                   9a5b7a10ba9acc58ba9d8cf893f98677a8f34af8  20.0.0-6-g9a5b7a1+ef6ce590e7             sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal,obs_subaru
ap_verify                 33795a59bc4da225e8255a828cc0c5e90a077ca1  20.0.0-25-g33795a5+ff4779f9ce            utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ctrl_mpexec,ap_verify_testdata,ip_diffim,ap_association
lsst_apps                 b3c0038b24fdbb7d2fec4a9d1fafdb31beb6da64  20.0.0+c207d0cbbd                        meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_distrib              f805d95c0ed2bcd962c80b4312b63e7aff4b996f  20.0.0-2-gf805d95+517048ec11             lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,sdm_schemas,validate_drp,fgcmcal
lsst_ci                   e0579581cad8670f7abf234ac20862e1f79d5543  20.0.0-1-ge057958+bc4bcf4f6d             lsst_apps,lsst_distrib,lsst_obs,lsst_dm_stack_demo,pipelines_check,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
