# product                 SHA1                                      Version                       
BUILD=b879
throughputs               a6e2efc0c9c01ca6c64016117a5e700cad356e0f  master-ga6e2efc0c9                       
eigen                     e7c2993de8c624e968067861b71e3f7787c8b387  3.2.0                                    
xpa                       37475053b1454edd07059ce496d2fd851ca0a448  master-g37475053b1                       
python                    259ae7060d5430926998615a42cf4b4c117a449e  master-g259ae7060d                       
swig                      ccf66d07ee20460f0eb3c396d8f04e5d5e249ee3  3.0.2.lsst1                              
doxygen                   16ba5fa702ef543facf1ab4530b6a436f20f8f8b  1.8.5                                    
sims_sed_library          7b2c9abf7cf0a849fb839e1aadc0af41a62882d3  2014.10.06                               
sims_data                 dac76d2d31a18efd420080cf729efcfc59b66910  master-gdac76d2d31                       
fftw                      79f7a23301533025fb1a46e9e8e60e565bdb8831  3.3.3                                    
pyephem                   2fa459bf78ce024ea022dfdeba525a395984f205  3.7.5.1.lsst1                            
cfitsio                   9799952d95ad6495ae9dac67c203ca9ec9369b1b  3360.lsst1                               
mysqlclient               b5244aa1cc5e692fdf2d47a301f9aa0b47cdbc83  5.1.73.lsst1                             
sims_dustmaps             9b0d0a937dab12efdb4a913bca8b4f0fb7c6d53c  master-g9b0d0a937d                       
sims_utils                e8900fd7e38a3b6ba8d308878acc4d3e24629643  master-ge8900fd7e3                       utils,python
pex_logging               d16710822329606488381ce3b47a7e6d13e1f17e  10.0+8                                   pex_exceptions,daf_base
sims_catalogs_generation  cc73a46424f7b74e444858f6e536e86b3ceb8d6c  master-gcc73a46424                       utils,python,sims_utils
pex_policy                6a3ac32d1b80886743dc96fbc2fb3a4498f7d968  10.0+8                                   daf_base
pex_config                1bbe32c89d407f972c81ecb26b6c14b7e0b78782  master-g1bbe32c89d+3                     daf_base,pex_policy,numpy
sims_catalogs_measures    99e633108e57775bfe081ae6dff95ac675bca04e  master-g99e633108e+5                     utils,python,sims_catalogs_generation
daf_persistence           3391ba5ea08ed4317be8a097ddbb309e1e0d8fd0  10.0+9                                   mysqlclient,pex_logging,pex_policy
afw                       7d0203e41d3fc5e0048c2aef061bc1e356f1f896  master-g7d0203e41d                       daf_base,daf_persistence,pex_config,ndarray,cfitsio,wcslib,xpa,numpy,minuit2,eigen,gsl,fftw,utils,pyfits,afwdata
sims_coordUtils           27688ba5a541991371285adbaffdcf7ab975e7c3  master-g27688ba5a5+11                    sims_catalogs_measures,utils,base,python,throughputs,palpy,pyfits,afw
skypix                    1157bf09aee6dda8cdefede4395220da4b46d0fe  10.0+42                                  utils,pex_policy,geom,afw
skymap                    8ff4092549790d886a8480a45e7c94ec46941bad  10.0+42                                  numpy,afw
sims_photUtils            0e0f930f36609c71a93316680485c1711bdcf9ab  master-g0e0f930f36                       utils,sims_catalogs_measures,sims_catalogs_generation,sims_sed_library,sims_dustmaps,sims_coordUtils,python,throughputs,pyfits
daf_butlerUtils           c54cf9771df5abbbd0f5495e1ca6fbf98d8339da  10.0+43                                  daf_base,pex_logging,pex_policy,daf_persistence,afw,skypix,pyfits
obs_test                  0bfce498d9182dfeca3aba851416d4678dc22369  master-g0bfce498d9                       daf_base,daf_butlerUtils,pex_policy,daf_persistence,pex_config
pipe_base                 a34ec3e352a7342a7e543795f5eb6571acd19bcf  master-ga34ec3e352+42                    daf_persistence,pex_logging,pex_config,utils,afw,obs_test
coadd_utils               b584cd339724b7015b353f8e213d090f7e1e0d09  10.0+55                                  afw,pipe_base,pex_config,afwdata
coadd_chisquared          a6b77976b1970420906e65b9ecdb504e3866b4c7  10.0+55                                  coadd_utils,afwdata
meas_base                 0d20a5cde79e8f84195e89ddca9daf8c65aaa887  master-g0d20a5cde7+4                     afw,pipe_base,daf_base,pex_config,coadd_utils
meas_algorithms           e958276ceeb762ca550853a65c4cebddcb906d71  master-ge958276cee+11                    afw,pex_logging,pipe_base,meas_base
meas_deblender            75eeaabc1bc78a1e35b01bdcc4f76e8bf3f9820d  master-g75eeaabc1b+36                    utils,afw,meas_algorithms,matplotlib
meas_astrom               85c615bec7bf7b7962d5faa7796bab0be16ce76d  master-g85c615bec7+12                    afw,meas_algorithms,pex_logging,pex_config,pipe_base,wcslib,astrometry_net,numpy,matplotlib
ip_isr                    3d1a22232e8c76e206ec8f9ea5e32c9eecf68c05  master-g3d1a22232e+35                    meas_algorithms,pipe_base
ip_diffim                 deebc640f798c6215984594cb7cffc3980515d98  master-gdeebc640f7+13                    afw,meas_base,meas_deblender,numpy,pex_config,pipe_base,afwdata,matplotlib
pipe_tasks                ea147bc55ce80a60a96ef0ffaeaa60fdb7f2fb59  master-gea147bc55c                       pipe_base,pex_config,afw,meas_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               b1f5397aabe83708dc51c70c9e35dc5e6b95c476  master-gb1f5397aab+1                     daf_base,pex_policy,afw,daf_persistence,daf_butlerUtils,meas_algorithms,ip_isr,pipe_tasks,mysqlpython
sims_maf                  d0cf0bf6a778b39ac73dec772ee80e5870822278  master-gd0cf0bf6a7                       base,numpy,matplotlib,pyephem,palpy,pex_config,sims_catalogs_generation,sims_photUtils,sims_coordUtils,sims_dustmaps,healpy,obs_lsstSim
sims_catUtils             ce0eaba1be4e8ce3825d5295a4889af74a8a3ce2  master-gce0eaba1be                       utils,sims_catalogs_measures,sims_catalogs_generation,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,GalSim,obs_lsstSim
lsst_sims                 69b085209b752f3b5c46ba630c3bd571f627e78d  master-g69b085209b+572                   sims_maf,sims_catUtils,sims_catalogs_generation,sims_catalogs_measures,sims_sed_library,sims_dustmaps
