# product                 SHA1                                      Version                       
BUILD=b4014
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4                              numpy,pyyaml
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+13                                 python,pytest
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3                                    python
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+1                   numpy,scipy
flake8                    5c00ee60f2f3c438cf9768f303462e359d230d7c  3.6.0+3                                  python,python_mccabe,pycodestyle,pyflakes
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+10                    cfitsio,wcslib,gsl,numpy
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
coord                     7309b208a04995ce3040490ec06eddee9bff6541  1.0.5.lsst2+1                            python,numpy,python_future
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+9                                  python,numpy,scipy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+1                           python,numpy,pykg_config,cfitsio,astropy
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1+5                            python,flake8
pytest_flake8             39ba4274ec41a1cdac9efd1cd49a2619974f15db  1.0.1.lsst2+2                            python,pytest,flake8
fgcm                      8b845deacd27e3448bcd790ac2f77bb48f345565  lsst-dev-g8b845deacd                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+4                                  python,pytest,python_coverage
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+5                              python,pytest
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+13                                 python,pytest
firefly_client            bdd0b666a003eb6865ae02bb866d8c3318d3b604  lsst-dev-gbdd0b666a0                     ws4py,python_future
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+1                                  boost,python,numpy,eigen,pybind11,fftw
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+5                           python,pytest,pytest_forked,python_execnet
sconsUtils                57c515d888139fa01e006e0231760431bc0679ac  16.0-15-g57c515d+3                       scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+55                               sconsUtils
base                      9321be75ef148c5d6fb6ba86f1576d75c0e7654f  16.0-6-g9321be7+5                        sconsUtils,pybind11,python,doxygen
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+11                       base,boost,pybind11,python
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+19                                  gsl,sconsUtils,fftw
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+21                       base,sconsUtils,pybind11,doxygen
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+22                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            d6b74a99466da166c524102a43984a6431dc05a2  16.0-4-gd6b74a9+2                        sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+18                       sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+59                    scons,sconsUtils
utils                     f0259e2ae3cb9fc996ed683e4e401918bc9bae2c  16.0-16-gf0259e2+1                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
geom                      dd5ca336533650b25d1a64206aade02d0267e29e  16.0-15-gdd5ca33+2                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       a8830df6ec65b1fe1c26acd9f9355f8c7a461d2b  16.0-2-ga8830df+7                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  09ed895f7bc09c8c806d8351a8aff07f48ac6423  16.0-11-g09ed895+3                       utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator 24fba81b1364be6afe4ee238a5e8fb8cde1efc5d  master-g24fba81b13                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                b13d127967f649535209e991ca4e1d467de003f7  16.0-4-gb13d127+7                        daf_base,utils,pybind11,python
daf_persistence           7af1f30f925c9795163610330ef1156abdc0b44d  16.0-15-g7af1f30                         log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                9d3e444d00de443eb611b28f5238bd39c4edbdf6  16.0-10-g9d3e444                         daf_base,pex_policy,numpy,utils,pybind11,python
ctrl_orca                 aefcce0c63ab49706277cc7673ef50e1723b127e  16.0-3-gaefcce0+9                        python_future,utils,pex_config,daf_persistence,log
afw                       bf7a9a820d20d7d575b2b17f4dc8648dc0c07442  16.0-75-gbf7a9a820                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+73                       afw,xpa,pybind11
daf_butler                642652174044ed90c37089939e0bd2394fa81021  master-g6426521740+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
shapelet                  3a9f023dd86f9ba8004710d26303653cb3bd23dc  16.0-8-g3a9f023+24                       afw,numpy,scons,sconsUtils,pybind11,scipy
display_firefly           f5c1f4358481bb3e175a4ddf03aebbe0b3035413  16.0-9-gf5c1f43+12                       afw,log,firefly_client,python_future
skymap                    f3bc1693beacae2781f617f1b56d2f01823b1b20  16.0-9-gf3bc169+4                        numpy,sphgeom,afw,daf_butler,healpy
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  16.0-4-g18f3627+17                       afw,matplotlib,python_future
ctrl_execute              609bcd0aaf14039c9ec6cbe251c4f2edf7f495ba  16.0-1-g609bcd0+7                        python_future,ctrl_orca,pex_config,utils
dax_ppdb                  c237143d49724638a14a7e12bfb880423fd85c71  master-gc237143d49+1                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
obs_base                  e8801f957eef4302957c4986f56c3ac1a56e3cc4  16.0-29-ge8801f9+6                       daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
ctrl_platform_lsstvc      817d9558669f49bfc7333e6765e3300a0ffb5ad6  16.0-2-g817d955+7                        ctrl_execute
obs_test                  12e47bda8bcdc3b68ffc6be2333dd3e583aa69ec  16.0-11-g12e47bd+6                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  master-gad2fcd81dc+46                    obs_test
pipe_base                 79c42fc9833ee6ac3f76b2b878bfde0c7983e2e7  16.0-29-g79c42fc                         daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
cp_pipe                   27fb78a50ac6fbde48d40a36c2de663432c533f8  16.0-5-g27fb78a+14                       pex_config,pipe_base,daf_base,log
ctrl_mpexec               53f50ade4d881e0ba68883d8a6412edc0e05d764  master-g53f50ade4d                       daf_butler,log,pex_config,pipe_base
verify                    9a9af5fc628e2e2d52bef2bb57670f47a4407eee  16.0-6-g9a9af5f+6                        python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,verify_metrics
coadd_utils               6a53317665fd620d2a0fe3cfb0c2fab85c895877  16.0-5-g6a53317+41                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 a4d4bcb020a6781d19bfad2165b8f39455a99ffa  16.0-18-ga4d4bcb+8                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+94                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           f55172b7d5c00970977d35eab083bb60d1f14371  16.0-22-gf55172b7+1                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_modelfit             cf94535bb612d166be82af3f27d59d01659e0b6f  16.0-18-gcf94535+5                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  fda48a7a1806872895ec1bfc22b61629ecc97b3a  16.0-6-gfda48a7+75                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_psfex     71e5ef5b6325f56642d3e15eb65d2af8f2ce32b4  16.0-12-g71e5ef5+2                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
ctrl_pool                 abf74b740a17475d1a9aa5aac38ff8e15b53db48  16.0-4-gabf74b7+36                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_chisquared          e00e371ed7ad5c90423d94188483759106dc13d4  16.0-3-ge00e371+41                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_deblender            5c924a4f47b21ea0965c10e2a861c00b3f1f2f6e  16.0-12-g5c924a4+13                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_isr                    5cf0468fe51ea1c7407cd5d33aca9de96d19b49c  16.0-17-g5cf0468+6                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
obs_ctio0m9               2e441db59638a9239894b27a78dc617b1c89bca3  16.0-6-g2e441db+36                       afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
ap_association            7cc58e0bbbf861efb58c4a00fa25c6a8a8ba8833  master-g7cc58e0bbb+3                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,numpy,scipy,python_future
meas_astrom               ec02d8858391bc81df9fa94d7f9d492fc4b03194  16.0-20-gec02d88+1                       geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
ip_diffim                 eff7d6b5667e6a87b65bc31ca314e4b7251f13c9  16.0-18-geff7d6b+2                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_photometryKron f49912ce06bd4fc99570f803ac93236ca89614a4  16.0-6-gf49912c+36                       meas_base,pybind11,meas_algorithms
meas_extensions_astrometryNet 21fd5fe612fa2e3ec385736e6e6fc120e753f7df  16.0-8-g21fd5fe+37                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_convolved ae186386385d2a635bea615618b8e50547629263  16.0-4-gae18638+62                       meas_algorithms,meas_extensions_photometryKron
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  16.0-4-g40f4cc0+59                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                bf35a124d8aa43939a53dc05c8dbfd0c276d3f60  16.0-54-gbf35a124                        afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_comCam                2909b49ba34cc3120671c83628675a584fbd2bee  16.0-6-g2909b49+39                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
pipe_drivers              c11f1cfa271a957367833aea326936a101dae4a0  16.0-8-gc11f1cf+3                        ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+114                      obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_subaru                2058802c01879d1518f5d722283e038a7d145606  16.0-44-g2058802c+3                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_decam                 9d290d58030b3bb07734599920439f33a16acbc6  16.0-19-g9d290d5+5                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_lsstSim               28cebc3e6ba1329d1156cdde9e7916ab493706a2  16.0-9-g28cebc3+61                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
ap_pipe                   390d556d7c481f466da04591a9c4efbeb9ba5196  master-g390d556d7c+18                    utils,pex_config,pipe_base,pipe_tasks,ap_association
obs_sdss                  33965e3bc67f181039e21b71243058176ee54124  16.0-7-g33965e3+51                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
lsst_dm_stack_demo        e6c258fda7eb6c6fb457d2be8c2f73fca1be8821  10.1-41-ge6c258f+31                      python,utils,sconsUtils,obs_sdss
obs_cfht                  62fdbaee87fcc4bdccae5382832ebddd32318c99  16.0-8-g62fdbae+15                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
meas_mosaic               110d9e1b331bc3948377b0499cb6291850793d7e  16.0-17-g110d9e1+12                      sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
synpipe                   cbc7b310992dfab4ca4d95ea41beea64aadd1988  16.0-6-gcbc7b31+50                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
ap_verify                 b6fc462423ff7aaceae802a91007d54e540d9c7b  master-gb6fc462423+4                     python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
validation_data_cfht      91cba59613775a4a868702b2a3d5937ebd04c9e9  16.0-2-g91cba59+15                       obs_cfht
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+197                                 obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  16.0-1-ge7f95ac+71                       meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
validation_data_decam     be4b166ba8b6d8c835e5d7054c71b84b4bccc067  16.0-2-gbe4b166+15                       obs_decam
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+141                                 obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  fc9ea6cd78857cb297ac446e4ac3eaaf28725a64  16.0-28-gfc9ea6c+12                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
validate_drp              58b607bce5038ca2c6e7bb08bcbc7d847a48104d  16.0-16-g58b607b+10                      python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
fgcmcal                   75f72011181ec1ebde771526f127c5c7d338bd02  master-g75f7201118+8                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  16.0-3-g242c589+2                        lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  16.0-2-g7d755d1+18                       lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
