# product                 SHA1                                      Version                       
BUILD=b4172
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
python                    4a86a4cd72245855c8a4c6c085c4bc7c5ee35c66  0.0.9                                    
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+1                               python,numpy,python_future
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+2                   numpy,scipy
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+5                                  python,pytest,python_coverage
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+14                                 python,pytest
fgcm                      6c5abd46cab9e55959812dcdb741926cbc4b4528  lsst-dev-g6c5abd46ca+2                   esutil,numpy,scipy,matplotlib,healpy,pyyaml
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+1                                  python,python_mccabe,pycodestyle,pyflakes
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+1                                  python,mpi
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+14                                 python,pytest
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+1                                  python,pytest,flake8
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d+1                   pybind11,scipy,numpy,eigen,proxmin
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+1                                  python,flake8
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+6                              python,pytest
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+6                           python,pytest,pytest_forked,python_execnet
sconsUtils                edfe9659e30797a970d6e8bc39e0787708ec6910  17.0+1                                   scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
verify_metrics            90f037618d0b10d4cc951a2aa72990f5f9eb1b56  17.0.1-3-g90f0376+1                      sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+67                    scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+63                               sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0+1                                   sconsUtils
astshim                   f92808934c903432245d509b0ef1ea73c4b0e30a  17.0+1                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0+1                                   sconsUtils,pybind11,python,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+26                                  gsl,sconsUtils,fftw
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0+1                                   base,sconsUtils,pybind11,doxygen
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  17.0.1-1-g8de6c91                        base,boost,pybind11,python
utils                     0a50484cacd0c1231aa1748dd2d4d005ebe49569  17.0+3                                   base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
geom                      fd1767437df33cb529f0e06d34ca240144c4f8b9  17.0+2                                   boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       fc7ad86047093f74dd8ca335642327933b84762a  17.0+3                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  3bdf598951a9e57b7df819b37724ccd1768f2c75  17.0.1-2-g3bdf598                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator d380630a420906dc55be28075a1feed99c559051  master-gd380630a42                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0+4                                   daf_base,utils,pybind11,python
pex_config                703d48b1fa349706988f63ba328aa937e8c5d6d8  17.0.1-1-g703d48b+6                      daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+5                      log,pex_policy,astropy,pyyaml,pybind11,python
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+6                                   python_future,utils,pex_config,daf_persistence,log
afw                       7c0af834f66868c8a223af827bd0fe110619bc2e  17.0.1-8-g7c0af834f                      daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0+11                                  afw,numpy,scons,sconsUtils,pybind11,scipy
dax_ppdb                  cbbb95d8ef4f734509c45378414c769b5c37722f  17.0.1-3-gcbbb95d+6                      afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  17.0.1-1-g98c77ba+3                      python_future,ctrl_orca,pex_config,utils
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  17.0-1-g377950a+10                       afw,log,firefly_client,python_future
daf_butler                d4f779f11a6ac009552b46939f8835a48e307fec  17.0.1-12-gd4f779f                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  17.0.1-1-g4d4fbc4+5                      afw,xpa,pybind11
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  17.0.1-1-g1b224f6+3                      ctrl_execute
obs_base                  f0e57634fbe122802c418fb0bf6e286552d77286  17.0.1-7-gf0e5763                        daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+11                                  afw,matplotlib,python_future
obs_test                  55520dc64ee6f0d33ac3383a492a85ec22316939  17.0.1-1-g55520dc                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 3e5d1915fbb5f211304a3445a4aa49afd18c45c8  17.0.1-2-g3e5d191+2                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
cp_pipe                   7235603353573bc2aeac5d944ed7c18f12a667d9  17.0+18                                  pex_config,pipe_base,daf_base,log
skymap                    a33d1f2b1bd913cc288bb2a73e75dd910d7f41a9  17.0+17                                  numpy,sphgeom,afw,daf_butler,healpy
ctrl_mpexec               65ad0afcb9b27b7e5f53e14f4866b49b73d1843b  17.0.1-4-g65ad0af+2                      daf_butler,log,pex_config,pipe_base
verify                    84a594958b6a2be75c4f32f063ee46888ba3c80d  17.0.1-1-g84a5949+12                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  17.0+18                                  obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+18                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 c5185c236956b39f3598faf0e285a4e3fcde304e  17.0.1-4-gc5185c2                        utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+18                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
meas_algorithms           717baa358debf68beb10145ff3d27bbd7e32f801  17.0.1-7-g717baa35                       astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_modelfit             7e86b5922825f50627630dc907385da8a1c11f33  17.0.1-3-g7e86b59                        afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0+18                                  scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_psfex     9deacb5b9288fed402ec3abe197ae5bbd5d04eb4  17.0.1-1-g9deacb5+11                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_astrom               4191a53978fb4fd2d09fb931b2afc0f901f1e324  17.0.1-5-g4191a53                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_astrometryNet d08d5339e164f373263c89100514cd62cd3596f2  17.0.1-3-gd08d533                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  17.0.1-1-gfc65f5f+11                     meas_base,pybind11,meas_algorithms
ap_association            c324c4c5786d221216236340ff09ccd25c0887f5  17.0.1-4-gc324c4c                        afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+1                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_isr                    77829d8ece0738222ab691e5705200b3df9e620b  17.0.1-9-g77829d8                        meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0+21                                  meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0+21                                  meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               662de302ac2b3ba5427050836702178db0317dfa  17.0.1-1-g662de30+11                     afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
obs_monocam               7f5138e3e16fcf4f6bc8d5708c26b5692ff61ca4  17.0.1-1-g7f5138e                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
ip_diffim                 a5f3de767d7a09f444efc1416c4bb1e1733c2457  17.0.1-6-ga5f3de7                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
pipe_tasks                40ca8d541ca38b99074fe6874344596690000e3f  17.0.1-8-g40ca8d54                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_cfht                  9f655341ea7f8f6f02358b116165c180be8a2076  17.0.1-2-g9f65534+12                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  17.0.1-1-gf4e0155+12                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_sdss                  e47e0048026ddc9895c1fee1a7119d661349eb6c  17.0.1-1-ge47e004                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
ap_pipe                   db5c7619a4406e9a1bf31813747e798787de634d  17.0.1-2-gdb5c761+4                      utils,pex_config,pipe_base,pipe_tasks,ap_association
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  17.0.1-2-gc5e4034                        python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0+25                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_decam                 29d9b2929c2c25e6bf8425cdba311a8371e1909c  17.0.1-2-g29d9b29                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_subaru                2b411e26f90be72b1df5a458b334e503784f79b3  17.0.1-6-g2b411e26+7                     daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              d73ec07a813503fd124f917496e07c304d4e2033  17.0.1-2-gd73ec07+12                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
ap_verify                 4ca0d7b05b8b1952d7c7375b2642e0bec65411e7  17.0.1-3-g4ca0d7b+4                      python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
obs_lsstSim               97a773840b027989ed9270f303cd653164fcd03a  17.0.1-1-g97a7738                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+24                                  obs_cfht
validate_drp              f21ff4aee8cbe99588a3e55b7f69ee331c6bb64a  17.0.1-3-gf21ff4a                        python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
obs_lsst                  4fc8dd19c287b40133cb3434bda6844423e0f236  17.0.1-10-g4fc8dd1+2                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+25                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+24                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  17.0.1-2-g5ea0c29                        obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+24                                  obs_decam
meas_mosaic               e2cdb141ec420398fef2e030907b2730993c764a  17.0.1-1-ge2cdb14                        sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
fgcmcal                   434ef062eb23c01484fb6353d251487872e85689  17.0+25                                  scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+25                                  meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  8a03198d2d080984dc56806ce1df9ab68c35afa7  17.0.1-7-g8a03198                        scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0+27                                  lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+26                                  lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
