# product                 SHA1                                      Version                       
BUILD=b4270
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.4.lsst1-1-g221959b                   
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  17.0.1-1-g8de6c91+11                     base,boost,pybind11,python
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0+7                                   base,sconsUtils,pybind11,doxygen
utils                     e9fec5e815b6d2d2801007d328d1d7a986e5329c  17.0.1-1-ge9fec5e+5                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
log                       114240f7da360dabd2a5027c4584d75167f115ce  17.0.1-1-g114240f+2                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  b5ca14a47715d1602a73d32495c10643867ee0e8  17.0.1-3-gb5ca14a                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  17.0.1-1-gb9095d2+7                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
astro_metadata_translator 77e2c91a09160d3c4ac0f26acfc15491df14ac52  master-g77e2c91a09+2                     scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0+11                                  daf_base,utils,pybind11,python
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  17.0.1-2-g54f2ebc+9                      daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+20                     log,pex_policy,astropy,pyyaml,pybind11,python
afw                       edeebbf6d9070dfe5b46e361baaeca1320fe91ef  17.0.1-25-gedeebbf6d                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0+31                                  afw,numpy,scons,sconsUtils,pybind11,scipy
daf_butler                c4e5d60fe1de10941380d261c6df41902ef550c3  17.0.1-28-gc4e5d60+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+15                                  python_future,utils,pex_config,daf_persistence,log
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  17.0-1-g377950a+30                       afw,log,firefly_client,python_future
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  17.0.1-1-g4d4fbc4+25                     afw,xpa,pybind11
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  17.0.1-1-g98c77ba+12                     python_future,ctrl_orca,pex_config,utils
dax_ppdb                  c7c87825dd1e55d67cd99a37b9c5262d78e89b13  17.0.1-7-gc7c8782+14                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+31                                  afw,matplotlib,python_future
skymap                    59d126d652567381e53073cce9a1845feaa2bbd1  17.0.1-4-g59d126d                        numpy,sphgeom,geom,afw,daf_butler,healpy
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  17.0.1-1-g1b224f6+12                     ctrl_execute
obs_base                  7179f55c65e00f2c06d4690fd9b6de934eb34c36  17.0.1-16-g7179f55+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,skymap,daf_butler
obs_test                  55520dc64ee6f0d33ac3383a492a85ec22316939  17.0.1-1-g55520dc+45                     afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 c69c47212b404455c147ac0e00f5cac90414a105  17.0.1-4-gc69c472+1                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+56                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_mpexec               067ee6759e5c605e55b3de32d63a79e1e7bc724d  17.0.1-6-g067ee67+11                     daf_butler,log,pex_config,pipe_base
meas_base                 aad6eea1b3d02ba21422c29dcc3984af482e9319  17.0.1-6-gaad6eea+29                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
verify                    8463ee6d438ecaae5e7fb4107b96aef4f3709c3e  7.1-hsc-1-g8463ee6+26                    python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  17.0+52                                  obs_test
meas_algorithms           a14f7d5ce6026d2bb171c35b82c1baa985de6729  17.0.1-16-ga14f7d5c                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+53                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
ap_association            3c24ab033fe2d9594ad6b0308b15cc7016b324ec  17.0.1-5-g3c24ab0+35                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
cp_pipe                   6dd7d69ea20ee1d7e693b8f4bb1629e00ca69b4c  17.0.1-1-g6dd7d69+14                     pex_config,pipe_base,daf_base,log
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0+54                                  scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_modelfit             7e86b5922825f50627630dc907385da8a1c11f33  17.0.1-3-g7e86b59+36                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_isr                    2ca2f74994c502c0dfab123489c65bf894a92880  17.0.1-20-g2ca2f74+2                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  17.0.1-1-gfc65f5f+47                     meas_base,pybind11,meas_algorithms
meas_astrom               c4bbfb2c03094370eb5f2563246e460ae2f38d74  17.0.1-9-gc4bbfb2                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0+57                                  meas_algorithms,meas_extensions_photometryKron
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+48                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_psfex     26618f54b38bcaabc7c52375d2a0da07b23b3012  17.0.1-2-g26618f5+26                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_astrometryNet d08d5339e164f373263c89100514cd62cd3596f2  17.0.1-3-gd08d533+37                     afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0+57                                  meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
obs_ctio0m9               e328e07c79f00fc8c724b991d044063551dbea6f  17.0.1-4-ge328e07                        afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
obs_monocam               7f5138e3e16fcf4f6bc8d5708c26b5692ff61ca4  17.0.1-1-g7f5138e+37                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
ip_diffim                 e9de802297a723a0ae0be8164906663a0e3e643c  17.0.1-11-ge9de802+11                    afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
pipe_tasks                52d92e20f59c11d0295109403b774c5c1b2295d4  17.0.1-21-g52d92e20+2                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  74699703ea0a63440abad4ed09cd2f6bb8e639ff  17.0.1-27-g7469970                       afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
obs_subaru                3b12d9acb12ad36ada28956b544127cb615c227b  17.0.1-22-g3b12d9ac+3                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_decam                 5afd9b93e237572c9e2650614c27278d291f176e  17.0.1-6-g5afd9b9                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_sdss                  e47e0048026ddc9895c1fee1a7119d661349eb6c  17.0.1-1-ge47e004+42                     pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_lsstSim               97a773840b027989ed9270f303cd653164fcd03a  17.0.1-1-g97a7738+48                     daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0+64                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
meas_mosaic               43ebf10df846ff7c6deef1cea98d97e26201dfda  17.0.1-3-g43ebf10+34                     sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  17.0.1-2-gc5e4034+39                     python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
obs_cfht                  2d257863326facedff56d7bbc9e73ba15f22371f  17.0.1-4-g2d25786+27                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+63                                  obs_decam
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  17.0.1-1-gf4e0155+51                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+63                                  obs_cfht
pipe_drivers              cb87309068cfa3ffff43371232b83eae9b1f57a4  17.0.1-9-gcb87309+2                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  master-g20ca293bfb+11                    obs_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+64                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+64                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
validate_drp              5ca24d72cab8f25ab801c423e17c6695f1775266  17.0.1-4-g5ca24d7+39                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_pipe                   1054f171b0e208d427b30e8ccac8147a553537c3  17.0.1-4-g1054f17+11                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  17.0.1-2-g5ea0c29+39                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
fgcmcal                   5fd2752ea6c6167191375cdff0593021babf5db5  17.0.1-1-g5fd2752+2                      scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
jointcal                  dae4c4afbadffe5f80358dafdd54b0a6784dbd3c  17.0.1-17-gdae4c4a+4                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+64                                  meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 7cba90a6848e90e86bbf124fa0514aab4b1f492c  17.0.1-5-g7cba90a+22                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0+68                                  lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+67                                  lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
