# product                 SHA1                                      Version                       
BUILD=b4157
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
python                    4a86a4cd72245855c8a4c6c085c4bc7c5ee35c66  0.0.9                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+2                           python,numpy,pykg_config,cfitsio,astropy
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+11                    cfitsio,wcslib,gsl,numpy
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d+1                   pybind11,scipy,numpy,eigen,proxmin
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+6                           python,pytest,pytest_forked,python_execnet
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+1                                  python,flake8
fgcm                      6c5abd46cab9e55959812dcdb741926cbc4b4528  lsst-dev-g6c5abd46ca+2                   esutil,numpy,scipy,matplotlib,healpy,pyyaml
sconsUtils                edfe9659e30797a970d6e8bc39e0787708ec6910  17.0+1                                   scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
astshim                   f92808934c903432245d509b0ef1ea73c4b0e30a  17.0+1                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+26                                  gsl,sconsUtils,fftw
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0+1                                   sconsUtils,pybind11,python,doxygen
pex_exceptions            cc1f4bb640c444f6dbb348b7748fddec5d26203c  17.0+2                                   base,boost,pybind11,python
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+63                               sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+67                    scons,sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0+1                                   base,sconsUtils,pybind11,doxygen
verify_metrics            90f037618d0b10d4cc951a2aa72990f5f9eb1b56  17.0.1-3-g90f0376+1                      sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0+1                                   sconsUtils
utils                     0a50484cacd0c1231aa1748dd2d4d005ebe49569  17.0+2                                   base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
log                       fc7ad86047093f74dd8ca335642327933b84762a  17.0+2                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  aef33af35875c9480d91427f08ff3fcc226a9d7b  17.0.1-1-gaef33af+2                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator 3fccd84a7bc0a1fdd3331887a27ca5eee21058b1  master-g3fccd84a7b+1                     scons,sconsUtils,pyyaml,astropy,daf_base
geom                      fd1767437df33cb529f0e06d34ca240144c4f8b9  17.0+1                                   boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0+2                                   daf_base,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+2                      log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                703d48b1fa349706988f63ba328aa937e8c5d6d8  17.0.1-1-g703d48b+3                      daf_base,pex_policy,numpy,utils,pybind11,python
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+4                                   python_future,utils,pex_config,daf_persistence,log
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  17.0.1-1-g98c77ba+1                      python_future,ctrl_orca,pex_config,utils
afw                       c7a4417c8f733f9878313c5502cd228b518bc881  17.0.1-6-gc7a4417c8                      daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  17.0.1-1-g1b224f6+1                      ctrl_execute
daf_butler                778f0db9035ba842e556044d6b3373a28f9b6d10  17.0.1-8-g778f0db+2                      sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+8                                   afw,matplotlib,python_future
dax_ppdb                  cbbb95d8ef4f734509c45378414c769b5c37722f  17.0.1-3-gcbbb95d+2                      afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
skymap                    a33d1f2b1bd913cc288bb2a73e75dd910d7f41a9  17.0+14                                  numpy,sphgeom,afw,daf_butler,healpy
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0+8                                   afw,numpy,scons,sconsUtils,pybind11,scipy
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  17.0.1-1-g4d4fbc4+2                      afw,xpa,pybind11
obs_base                  b7d1e019a298f7acdc7fd666c9e7365b5dc99ea0  17.0.1-5-gb7d1e01+6                      daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  17.0-1-g377950a+7                        afw,log,firefly_client,python_future
obs_test                  8f68b0aaa282ba729d821a176f66e081c3300711  17.0+15                                  afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 0d345a53c01fc4a6594139ec16e6339ae9704c44  17.0.1-1-g0d345a5+7                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
verify                    84a594958b6a2be75c4f32f063ee46888ba3c80d  17.0.1-1-g84a5949+8                      python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  17.0+15                                  obs_test
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+15                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
cp_pipe                   7235603353573bc2aeac5d944ed7c18f12a667d9  17.0+15                                  pex_config,pipe_base,daf_base,log
ctrl_mpexec               3bf2b34b76f6c0191b0b14b006aaeb0620dba82b  17.0.1-2-g3bf2b34+5                      daf_butler,log,pex_config,pipe_base
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+15                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 eaa4c8a0abe1585126349cae40c84f6cc0ea5b29  17.0.1-3-geaa4c8a+1                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0+15                                  scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           2a2f1b99eea576c7d4ef56ca3e09c3eb3e96f840  17.0.1-2-g2a2f1b99+7                     astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_astrom               b71a5648e2899270502e19d7bb47e8521766682d  17.0.1-3-gb71a564+7                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  17.0.1-1-gfc65f5f+6                      meas_base,pybind11,meas_algorithms
meas_deblender            bf5c1cbdd221fa6c3f239e3a73edbac1064ba5d2  17.0+18                                  afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_psfex     9deacb5b9288fed402ec3abe197ae5bbd5d04eb4  17.0.1-1-g9deacb5+6                      afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
ip_isr                    69836a107a1fe0195fbd452cf5796df501ac5ddc  17.0.1-7-g69836a1+6                      meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_astrometryNet 444bd442b6d8e169fdc2861e8fe3848287dd7d51  17.0.1-1-g444bd44+6                      afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0+16                                  meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ap_association            a24dd6c9d1542f80935c62c51adf2918dba7e128  17.0.1-3-ga24dd6c+7                      afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0+16                                  meas_algorithms,meas_extensions_photometryKron
meas_modelfit             a5d6a7c23f4448ac9b184f7f9aad5e02b2b4a7d2  17.0.1-2-ga5d6a7c+1                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_diffim                 088434c56eb10df935da37bddde1b94c76040ef2  17.0.1-4-g088434c                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  17.0+17                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
obs_ctio0m9               662de302ac2b3ba5427050836702178db0317dfa  17.0.1-1-g662de30+6                      afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
pipe_tasks                f0ac6446c31c6e66be8938ddf0fea3e20684e29e  17.0.1-5-gf0ac6446+8                     afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_subaru                2b411e26f90be72b1df5a458b334e503784f79b3  17.0.1-6-g2b411e26+2                     daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_lsst                  5a63230a5025a311301dae764cbd2984d834cd4c  17.0.1-8-g5a63230+6                      afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
obs_cfht                  9f655341ea7f8f6f02358b116165c180be8a2076  17.0.1-2-g9f65534+7                      daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+19                                  obs_cfht
obs_sdss                  d009fa12cefd093771127a01af598839c130092d  17.0+21                                  pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
pipe_drivers              d73ec07a813503fd124f917496e07c304d4e2033  17.0.1-2-gd73ec07+7                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0+20                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  17.0.1-1-gf4e0155+7                      astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
lsst_dm_stack_demo        805f1712e392e106891627993ea3bf0c94759415  17.0.1-1-g805f171+7                      python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
ap_pipe                   92b5316c439101227a1f914b42c08356f1ec4ade  17.0.1-1-g92b5316+7                      utils,pex_config,pipe_base,pipe_tasks,ap_association
obs_decam                 46e6382b52d145dbeed6366c05348ae80ac86331  17.0.1-1-g46e6382+7                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+19                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_lsstSim               8db803037e720087df02e4c5b4529ab5ef845f9e  17.0+21                                  daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
meas_mosaic               110d9e1b331bc3948377b0499cb6291850793d7e  17.0+20                                  sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+20                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+20                                  meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
testdata_jointcal         06639e6e5b0f0675bf35bc3db6c6f4f59fef9edd  17.0.1-1-g06639e6+7                      obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validate_drp              27086d4ab4ed7e50bf01cf955440de87869bc1ff  17.0.1-1-g27086d4                        python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+19                                  obs_decam
ap_verify                 bdd65e09ed1fec2f5988f6048929d361d48dacd8  17.0.1-2-gbdd65e0+3                      python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
jointcal                  fa71e81f1d20b18c8450ee860dc81b016cdc3cbc  17.0.1-4-gfa71e81+5                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   434ef062eb23c01484fb6353d251487872e85689  17.0+20                                  scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0+22                                  lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+21                                  lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
