# product                 SHA1                                      Version                       
BUILD=b4694
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            ceb8033df3cfb72258b34257bac1b2649f7282dc  19.0.0-1-gceb8033                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
validation_data_cfht      38570ab94a8ba00dd785eb6b9a58600aff02e694  19.0.0-2-g38570ab                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
meas_modelfit             9b11441b0efae7ac93cf076b5b828c58fbe46a81  19.0.0-2-g9b11441+12                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  19.0.0+27                                meas_base,pybind11,meas_algorithms
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  19.0.0+27                                afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
cp_pipe                   f4bae50d8f804fd33a5320835dda8044b91ecdbb  19.0.0-5-gf4bae50+5                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
ip_diffim                 0745e3f4f999e7217e16c8e75b5dac2666750bc5  19.0.0-5-g0745e3f+9                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+27                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
pipe_tasks                49bd8b9432d2787c115b3ca758a6023ca243d9e5  19.0.0-20-g49bd8b94                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  16b7b9293cc46c113ae0de93413d9dd90a998bdd  19.0.0-14-g16b7b92                       afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_decam                 b5bb71e77f103fa39774929769f4fca4167b0192  19.0.0-6-gb5bb71e                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  19.0.0-1-ga8543ac+37                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  19.0.0+35                                obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
synpipe                   bfe0924a0c6021c906e6612ed51a47dd4de490d5  19.0.0-1-gbfe0924+9                      astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_subaru                e0c9e89f65cd780268842b36772541d259a2e9c7  19.0.0-16-ge0c9e89f                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_dm_stack_demo        cf6bc4ae2b6220f041fb1035dd578ed5f57067de  19.0.0-1-gcf6bc4a+27                     python,utils,sconsUtils,obs_sdss
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+122                               obs_decam
obs_cfht                  c6cf8f7b9f06f3b10bb84e4e540e4257cedacbf8  19.0.0-1-gc6cf8f7+31                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
pipe_drivers              d955cfd5e06245160ea632896ca0174c855261dc  19.0.0-2-gd955cfd+31                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
ap_pipe                   3cdbc4fb3d037651eb819916d58f4e0fae235bd3  19.0.0-5-g3cdbc4f+20                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+202                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  19.0.0+35                                obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         6096a76cb05a63b84311f634a9b9f1aa6f029137  19.0.0-1-g6096a76+19                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ap_verify                 f386f0101426dc412037da944a2a3028dd4cc4b0  19.0.0-6-gf386f01+20                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
validate_drp              12b746e2f3dc2c6f64eaeb67bc9dc8786f328511  19.0.0-7-g12b746e                        python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+208                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  65139202ee1298fc555b055462ce5b6b77caa46c  19.0.0-3-g6513920+9                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   e14e3a30c22f32d68f343c3f7f36f5f6519ae154  19.0.0-11-ge14e3a3+5                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  19.0.0+38                                lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   e4f73514a4ffd50af23465235dc4e6e5a416db76  19.0.0-2-ge4f7351+34                     lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
