# product                 SHA1                                      Version                       
BUILD=b4725
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
validation_data_cfht      38570ab94a8ba00dd785eb6b9a58600aff02e694  19.0.0-2-g38570ab                        
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
testdata_decam            ceb8033df3cfb72258b34257bac1b2649f7282dc  19.0.0-1-gceb8033                        
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
astshim                   a72da6bbfa9d1fec5e5d87d1aa560234f2b95958  19.0.0-1-ga72da6b+2                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
fgcm                      0c71a932cb2535cb0134fbe6befbbc9b9adefccf  lsst-dev-g0c71a932cb                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+6                        sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+38                                  gsl,sconsUtils,fftw
scarlet                   5b72d4495c8d369d207a9c93f8e53ed665dbcc38  lsst-dev-g5b72d4495c+1                   pybind11,scipy,numpy,eigen,proxmin,autograd
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+1                      sconsUtils
base                      9675b69d53decfd7a17e052ec242fb5a4253b6ae  19.0.0-2-g9675b69+2                      sconsUtils,pybind11,python,doxygen
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  19.0.0+4                                 base,boost,pybind11,python
utils                     686a884ec18b5a6267ea32289b315f2d3bb31c30  19.0.0-7-g686a884+3                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  49a97f9b6dba30d9f445da803e06e9b3f555cafb  19.0.0-1-g49a97f9+2                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+8                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator b976306e3e6fb85232cc838a145475ae8f16ca31  0.1.0-10-gb976306+2                      scons,sconsUtils,pyyaml,astropy,daf_base
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  19.0.0-1-g5549ca4+3                      base,sconsUtils,pybind11,doxygen
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+8                                 daf_base,utils,pybind11,python
geom                      de8e5e3b60ee950df6a6c88af15d8ccb4d53eb24  19.0.0-2-gde8e5e3+2                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  19.0.0-1-g6fe20d0+7                      log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                9aa49c1a292f38722a0dedfcd0de527bafa89486  19.0.0-5-g9aa49c1+1                      numpy,pybind11,python,daf_base,pex_policy
afw                       154200d1e78eaebb4b56d1ffd2ff52f7f74ca6ce  19.0.0-13-g154200d1e                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_matplotlib        ff6972b4a087e47eb23ec3997501d0203d232ab3  19.0.0-2-gff6972b+3                      afw,matplotlib
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+19                     afw,geom,log,firefly_client
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+19                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  19.0.0-1-g20d9b18+19                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+63                                afw,xpa,pybind11
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+10                     utils,pex_config,daf_persistence,log
daf_butler                ceaf4adb14d8744fcb1fb1a4b65948473a9655da  19.0.0-27-gceaf4ad+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
pipe_base                 0ae078ddf61fab0403236067dab2ae2e273f79b0  19.0.0-9-g0ae078d+2                      daf_butler,daf_persistence,log,pex_config,utils,afw
ctrl_mpexec               354b53835552210ed8e21d1adf9721306764d1ae  19.0.0-8-g354b538+9                      daf_butler,log,pex_config,pipe_base
coadd_utils               efe1d0da3a5767432c665339311a179f8b65e26e  19.0.0-1-gefe1d0d+15                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
verify                    8226a54a130b8b0fa9c77b778b084d3a62e78f2d  19.0.0-10-g8226a54+24                    astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+10                     ctrl_orca,pex_config,utils
ctrl_pool                 260436e5942073d83ef12ecad5cbacc21e5167e5  19.0.0-2-g260436e+19                     daf_persistence,pipe_base,log,utils,mpi4py
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+34                                numpy,sphgeom,geom,afw,daf_butler,healpy
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+39                                ctrl_execute
meas_base                 27e4659cd5023e8322ef7898a1568491f2b23f57  19.0.0-3-g27e4659+4                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
obs_base                  aaa92db47508c61ebeb8a25e819012b5a4f10b84  19.0.0-21-gaaa92db+4                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  19.0.0+36                                scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+35                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+37                                obs_test
meas_algorithms           a57c468973fa5370a12dda87d6760835b5e4d84f  19.0.0-7-ga57c4689+10                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ip_isr                    17493b716defa9bab50080fe34ba233fd5631b9a  19.0.0-10-g17493b7+3                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
ap_association            744ec977e52da689ac3639ffcbb519abeedabcd2  19.0.0-13-g744ec97+3                     afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  19.0.0+43                                afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
cp_pipe                   fdb4f68f5b02ffdbe7527354d3859445c2fe35ab  19.0.0-7-gfdb4f68+2                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  19.0.0+38                                geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  19.0.0+38                                meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_modelfit             9b11441b0efae7ac93cf076b5b828c58fbe46a81  19.0.0-2-g9b11441+23                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_extensions_scarlet   4f4b5697bf282631290f22b5fbef2de172a68835  19.0.0-5-g4f4b569+6                      base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  19.0.0+38                                meas_base,pybind11,meas_algorithms
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  19.0.0+38                                afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  19.0.0+42                                afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+38                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
ip_diffim                 2f7a0e4d784375ad9f79b0b211b682bab54def06  19.0.0-7-g2f7a0e4+3                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
pipe_tasks                53bcf5f61805e8c8b7e24a1f232144cca7cf8271  19.0.0-28-g53bcf5f6+2                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  77be09c8fc285526998b01d1e2f9b85b6d1246e9  19.0.0-26-g77be09c+3                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  19.0.0+47                                obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_cfht                  c6cf8f7b9f06f3b10bb84e4e540e4257cedacbf8  19.0.0-1-gc6cf8f7+43                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
pipe_drivers              ce3f959b9ab7df9eab0e5b67082194816776efd8  19.0.0-3-gce3f959+8                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  19.0.0-1-ga8543ac+49                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
synpipe                   bfe0924a0c6021c906e6612ed51a47dd4de490d5  19.0.0-1-gbfe0924+21                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+214                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_subaru                9f1d08f95cc485a44ee3c5ca87e732e182ffbc35  19.0.0-23-g9f1d08f9                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_dm_stack_demo        cf6bc4ae2b6220f041fb1035dd578ed5f57067de  19.0.0-1-gcf6bc4a+39                     python,utils,sconsUtils,obs_sdss
obs_decam                 b5bb71e77f103fa39774929769f4fca4167b0192  19.0.0-6-gb5bb71e+12                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
testdata_jointcal         6096a76cb05a63b84311f634a9b9f1aa6f029137  19.0.0-1-g6096a76+32                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+134                               obs_decam
validate_drp              7546aab731893bfa50f0c0f189572c2f86b2591b  19.0.0-9-g7546aab+7                      python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  19.0.0+48                                obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
jointcal                  65139202ee1298fc555b055462ce5b6b77caa46c  19.0.0-3-g6513920+22                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
ap_pipe                   8dfed85431de3050141683b20c976046ad4fea5c  19.0.0-6-g8dfed85+4                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
fgcmcal                   1175b4e3eaac7ddd21815a4c337b2c7377cce232  19.0.0-14-g1175b4e                       scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+221                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 f386f0101426dc412037da944a2a3028dd4cc4b0  19.0.0-6-gf386f01+33                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  19.0.0+52                                lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   e4f73514a4ffd50af23465235dc4e6e5a416db76  19.0.0-2-ge4f7351+48                     lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
