# product                 SHA1                                      Version                       
BUILD=b3976
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pex_config                4734f7a81446ebcb4c6479562be3f16df4befee1  16.0-8-g4734f7a+1                        daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           9a974b3afd9bbbb4f6874d770c4251390a1471c5  16.0-14-g9a974b3+1                       log,pex_policy,astropy,pyyaml,pybind11,python
ctrl_orca                 aefcce0c63ab49706277cc7673ef50e1723b127e  16.0-3-gaefcce0+6                        python_future,utils,pex_config,daf_persistence,log
afw                       e2bf50b9dcbe71a5db1d5f7f5ca16e98c1a87891  16.0-70-ge2bf50b9d                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
daf_butler                df180e9fa5fb3daafe53f7f0dec8b78b74a976f9  master-gdf180e9fa5+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
dax_ppdb                  d73dc1d09880e5cd5caa37a536ccfcdf309f3f5d  master-gd73dc1d098                       afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  16.0-4-g18f3627+12                       afw,matplotlib,python_future
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+68                       afw,xpa,pybind11
ctrl_execute              609bcd0aaf14039c9ec6cbe251c4f2edf7f495ba  16.0-1-g609bcd0+4                        python_future,ctrl_orca,pex_config,utils
ctrl_platform_lsstvc      817d9558669f49bfc7333e6765e3300a0ffb5ad6  16.0-2-g817d955+4                        ctrl_execute
skymap                    585843132d895cd78251d206e26b969f71a6ae1a  16.0-8-g5858431+2                        numpy,sphgeom,afw,healpy
obs_base                  75ac311a85e5eb2dee460ccc2adbc5709282e645  16.0-27-g75ac311                         daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
display_firefly           f5c1f4358481bb3e175a4ddf03aebbe0b3035413  16.0-9-gf5c1f43+7                        afw,log,firefly_client,python_future
shapelet                  3a9f023dd86f9ba8004710d26303653cb3bd23dc  16.0-8-g3a9f023+19                       afw,numpy,scons,sconsUtils,pybind11,scipy
obs_test                  6e418857ece135833417378cdcc0389cd6f0113e  16.0-10-g6e41885+4                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  master-gad2fcd81dc+37                    obs_test
pipe_base                 91a1c50b74dd488edc3ddc2eabd1a346d3b08328  16.0-21-g91a1c50+1                       daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ctrl_pool                 abf74b740a17475d1a9aa5aac38ff8e15b53db48  16.0-4-gabf74b7+25                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
cp_pipe                   27fb78a50ac6fbde48d40a36c2de663432c533f8  16.0-5-g27fb78a+3                        pex_config,pipe_base,daf_base,log
coadd_utils               6a53317665fd620d2a0fe3cfb0c2fab85c895877  16.0-5-g6a53317+30                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          e00e371ed7ad5c90423d94188483759106dc13d4  16.0-3-ge00e371+30                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_base                 7e0e4ff33694b4c0539336253a953125d44056b7  16.0-17-g7e0e4ff+19                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+83                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
verify                    f1ab111ed03b2b30febaa8a874a1c20601c0ce76  16.0-4-gf1ab111+7                        python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,verify_metrics
meas_algorithms           21842373d8ba1956684a58a85e2294fa533709b9  16.0-20-g21842373+3                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_psfex     9bb73b2d1a644f3fefae69c64eb536419df60578  16.0-11-g9bb73b2+2                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
ap_association            241c1791dea2e544313fd2702913a94e591c58b8  master-g241c1791de                       afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,numpy,scipy,python_future
meas_extensions_shapeHSM  fda48a7a1806872895ec1bfc22b61629ecc97b3a  16.0-6-gfda48a7+64                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_modelfit             a3d2e9fca93db7bd399d08c1a9604fa9869262f5  16.0-17-ga3d2e9f+9                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_photometryKron f49912ce06bd4fc99570f803ac93236ca89614a4  16.0-6-gf49912c+25                       meas_base,pybind11,meas_algorithms
meas_astrom               7d7456e3d19075a9f7bbf4f21cc007e80ab187ab  16.0-17-g7d7456e+3                       geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_astrometryNet 21fd5fe612fa2e3ec385736e6e6fc120e753f7df  16.0-8-g21fd5fe+25                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    6c7ed5574c96f7b09b3670c25f7dc0055c5ed8c3  16.0-14-g6c7ed55+25                      meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_deblender            5c924a4f47b21ea0965c10e2a861c00b3f1f2f6e  16.0-12-g5c924a4+2                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_convolved ae186386385d2a635bea615618b8e50547629263  16.0-4-gae18638+51                       meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               2e441db59638a9239894b27a78dc617b1c89bca3  16.0-6-g2e441db+25                       afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  16.0-4-g40f4cc0+47                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
ip_diffim                 31abd9151b81b518f51c2bae9c3f2c510ff0d668  16.0-17-g31abd91+3                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
pipe_tasks                42e581f742aae387611ced5f296006a3a1eb3f89  16.0-49-g42e581f7                        afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_cfht                  62fdbaee87fcc4bdccae5382832ebddd32318c99  16.0-8-g62fdbae+3                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
obs_sdss                  33965e3bc67f181039e21b71243058176ee54124  16.0-7-g33965e3+39                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_comCam                2909b49ba34cc3120671c83628675a584fbd2bee  16.0-6-g2909b49+27                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_subaru                7faf184251d5fc9e0e04934160fc549d6dcc3890  16.0-40-g7faf1842+4                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
meas_mosaic               110d9e1b331bc3948377b0499cb6291850793d7e  16.0-17-g110d9e1                         sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
pipe_drivers              d2eeba56fc3ed255ce7fb4194576e559294a6de0  16.0-7-gd2eeba5+47                       ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
lsst_dm_stack_demo        e6c258fda7eb6c6fb457d2be8c2f73fca1be8821  10.1-41-ge6c258f+19                      python,utils,sconsUtils,obs_sdss
obs_decam                 d4cf91f659ebaa28f5a7f66c615b24e4ab1396f1  16.0-17-gd4cf91f+3                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
validate_drp              aa22b2fe5a832b4e7e05052213224680a4831a92  16.0-14-gaa22b2f+3                       python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
obs_lsstSim               28cebc3e6ba1329d1156cdde9e7916ab493706a2  16.0-9-g28cebc3+45                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
ap_pipe                   390d556d7c481f466da04591a9c4efbeb9ba5196  master-g390d556d7c+5                     utils,pex_config,pipe_base,pipe_tasks,ap_association
validation_data_cfht      91cba59613775a4a868702b2a3d5937ebd04c9e9  16.0-2-g91cba59+3                        obs_cfht
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+101                      obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+185                                 obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  16.0-1-ge7f95ac+58                       meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
synpipe                   cbc7b310992dfab4ca4d95ea41beea64aadd1988  16.0-6-gcbc7b31+38                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+129                                 obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ap_verify                 f7077f97aef69319aac98f4d3cecc19b5977eb64  master-gf7077f97ae+8                     python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
fgcmcal                   5926a1f225eb66bd186ba00cd30d1e3072efc03e  master-g5926a1f225                       scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
validation_data_decam     be4b166ba8b6d8c835e5d7054c71b84b4bccc067  16.0-2-gbe4b166+3                        obs_decam
jointcal                  fc9ea6cd78857cb297ac446e4ac3eaaf28725a64  16.0-28-gfc9ea6c                         scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              3466de96d5f25781a0af20d60ad9537876dd4c96  16.0-2-g3466de9+24                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  16.0-2-g7d755d1+3                        lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
