# product                 SHA1                                      Version                       
BUILD=b3700
eigen                     25515ab5da2f7f7c26847d0b79d57eb98b0f5186  3.2.10                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+6                           python,numpy,pykg_config,cfitsio,astropy
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+8                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
ndarray                   b3fb59ae4e34a86aa2a1cfb81b1f5af2660c9842  1.5.1-1-gb3fb59a                         boost,python,numpy,eigen,pybind11,fftw
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+8                     cfitsio,wcslib,gsl,numpy
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst3+2                            numpy,pyyaml
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+9                                  python,pytest
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+8                                  python,pytest,flake8
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+1                           python,pytest,pytest_forked,python_execnet
sconsUtils                d93e90d9fce3aa05aa0571bdd09814aaf465396e  16.0-1-gd93e90d                          scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      8aea5f4a8dde44e6c9a2ac9e2aafa51a770ba381  16.0+1                                   sconsUtils,pybind11,python,python_future,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+1                                   gsl,sconsUtils,fftw
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+11                                 numpy,python_d2to1,stsci_distutils
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+37                               sconsUtils
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1+2                          python,numpy
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2+2                                  python,numpy
astshim                   f906033862c31d8092f964341730544b2de870ed  16.0+3                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+7                            python,numpy
sphgeom                   7bb14cc179dfdb8448f7b59dfc9897a4be36da39  16.0-1-g7bb14cc                          base,sconsUtils,pybind11,doxygen
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+23                                  sconsUtils
pex_exceptions            707930dd85bd7b82d13c9f19db69b854e659dd16  16.0+1                                   base,boost,pybind11,python,python_future
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+41                    scons,sconsUtils
verify_metrics            c1dfd1aab9d05da0f5bc9a125d7002ca8199e5b2  16.0+1                                   sconsUtils
galsim                    4bf07793e5ac764c53eca750585efa12fdf40cfd  1.6.0.lsst                               numpy,pyfits,python_future,boost,fftw,tmv,astropy
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
utils                     958ce35ccb2dd3b684643e4232f019361dcd70bf  16.0-3-g958ce35                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
daf_base                  aa1012f3d90534800130c65a5530471959985cbb  16.0-2-gaa1012f                          utils,pex_exceptions,pybind11,python,numpy
geom                      9d7c516e982f5db857dd08e66167ca1d333a6169  16.0-3-g9d7c516                          boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       df18595420fc27149a376a6e1bb4ba3db408bfc7  16.0+1                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  15.0+20                                  daf_base,utils,python_future,pybind11,python
daf_persistence           bdaa631dd4846832da8de2dc5abe9ea163bb23e4  16.0-1-gbdaa631                          log,pex_policy,astropy,pyyaml,pybind11,python
verify                    f66bdf4c88a53f7fb18b6c36b3c213b979991e35  16.0+1                                   python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_config                ae1598d582b523b6b9350db62a10782e149bea76  16.0+1                                   daf_base,pex_policy,numpy,utils,python_future,pybind11,python
ctrl_orca                 9633d822c601c422e950248b046d35adba9f08aa  16.0-1-g9633d82                          python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  15.0+25                                  python_future,ctrl_orca,pex_config,utils
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  15.0+25                                  ctrl_execute
afw                       d1b3a1c949af873115d010f2671bdefd779a1e77  16.0-10-gd1b3a1c94                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,log,pybind11,astshim,astropy,matplotlib,afwdata
display_matplotlib        d076f1fb4d29987d637edbb2680bc64a89bab192  16.0+5                                   afw,matplotlib,python_future
shapelet                  84f75fba50da7ae184ac1099a31f5d877cd31e0a  16.0-4-g84f75fb+2                        afw,numpy,scons,sconsUtils,pybind11,scipy
display_ds9               19261fa63b80e55469fdeadbf416b5eeffe40dad  16.0+5                                   afw,xpa,python_future,pybind11
obs_base                  fe708a8dbd0d0db10f41025a043eda4c96e3abc6  16.0-2-gfe708a8+3                        daf_base,log,pex_policy,daf_persistence,afw,pyfits,utils
skymap                    4515a79c948cb60a510861fe871ab9a50330eca5  16.0-1-g4515a79+3                        numpy,sphgeom,afw,healpy
display_firefly           09241ba9a4f2c4e7521005d46a721973b7d106fd  16.0+5                                   afw,log,firefly_client,python_future
obs_test                  a74c543b027b8f66dcb5a4fffc988e48cdd91d5b  16.0-1-ga74c543+3                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils
pipe_base                 852da1389d92afd311a6f45a9017a973a3750a05  16.0-2-g852da13+3                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
cp_pipe                   60afb23e41d70bc0a8625a4375dfe02416088242  16.0+5                                   pex_config,pipe_base,daf_base,log
coadd_utils               100d7307411ab1ee430d77822041ac5c21797c4e  16.0+5                                   afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
ctrl_pool                 a91101e309adfc7ed5025ee9bd07fbb9d7e44ae9  16.0+5                                   python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_chisquared          788a29304c8895415d18dbea573dbec0a3aca379  16.0+5                                   coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 c13a37eaf978e63110b4d47d7c9711776de7b96e  16.0-5-gc13a37e+2                        utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           2f3508ec6f8b5968c5018733e596229809115c55  16.0-3-g2f3508ec+3                       astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_astrom               1a325e74022390c8db15fd86dc6a6f1472bb468b  16.0-4-g1a325e7+2                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_deblender            1fcc04197989ea41066b8019a38ea5186d20acd4  16.0-1-g1fcc041+3                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib,testdata_deblender
meas_extensions_astrometryNet 4be42a9c6029692fe52cd24d887fd463880cfe3f  16.0+5                                   afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_diffim                 dbc6bc64cff422c6355f8eea2452855666cd1d14  16.0-3-gdbc6bc6+2                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_shapeHSM  94f2621b832a8ec707102be377cc512245c864e3  16.0+5                                   meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_simpleShape 854bb34999ebcf9fc05cd5bf295868a0864ca8b3  16.0-2-g854bb34+2                        scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_photometryKron f38729e1df4dd2df61fc803a74ecc0072f62a017  16.0+5                                   meas_base,pybind11,meas_algorithms
ip_isr                    23e394cea8620873ad99c084a5f9ce8b7db3bf8b  16.0+5                                   meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_psfex     da44f9da1e03124670e33538f7a1972cb329061b  16.0-2-gda44f9d+3                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_modelfit             c52fb0ebfc363f764ccc98dc5e8044a1da9749ae  16.0-5-gc52fb0e+2                        afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_convolved 86759d07ea7cd1281d58080ea7e48343c2bcba56  16.0+5                                   meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               324726013e315847439e1d811718724ce1cb13b1  16.0-1-g3247260+3                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr
obs_monocam               8372efd49791cdc88d50a7069d88b30ffb60ae38  16.0-1-g8372efd+3                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                cae3f1ab2d54bc2e299aaa5e520b52fe3f2be490  16.0-3-gcae3f1ab+3                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_subaru                ee6648dc274ff45f49f8774ba93c063fffe880ed  16.0-1-gee6648dc+3                       daf_persistence,obs_base,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_lsstSim               3215b9bb50a43a1c32f577fef094c3966a0401be  16.0-1-g3215b9b+3                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils
obs_sdss                  059f8bf5d825d646e757bf9b90844870c92d2d37  16.0-1-g059f8bf+3                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log
obs_decam                 14af2065dd030b728d5c0917b43d13b51a95d6cf  16.0-1-g14af206+3                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_cfht                  891f9b3213141e2fab60c4073a3ba280eefeab8b  16.0-1-g891f9b3+3                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_comCam                4ef91f377f46dffd6cd78a9a9aa94555c3e32b61  16.0-1-g4ef91f3+3                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
synpipe                   682901a63752e934d568772693039876e0fe6bd5  16.0-1-g682901a+3                        astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
pipe_drivers              69628aa2f4273146637a00d3559e47e51714f347  16.0+5                                   ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
meas_mosaic               c6b5e5ce35f91640027d40b54a15d623cb46eef0  16.0-3-gc6b5e5c+3                        sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,obs_subaru
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+5                                   obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+65                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
jointcal                  21cc1d5d464f8b6bbef1984ac7be7ce04e788f8f  16.0-3-g21cc1d5                          scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+145                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
validation_data_decam     5fdc4fd1082845b36d3886d5724e4d8d3e74c041  16.0+4                                   obs_decam
validation_data_cfht      d5cd87faf43f4e2f52a8945afc70d0d5fc35be7c  16.0+4                                   obs_cfht
ci_ctio0m9                c5ddfd5ad711b3fd39102627b604662a46ed28c2  16.0+4                                   obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validate_drp              0b0e9ded0f48dee108283dbfb124d7128d8c04b5  16.0-4-g0b0e9de                          python,python_future,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_distrib              da316d8ed5fcfdc1ad1c8dd70c43df304f0dadda  16.0+5                                   lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
lsst_ci                   b670d9483baf6760b991711ee7d46cbf9ba3d786  16.0+4                                   lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
